Job Title,Company,Location,Salary,Date Posted,Closing Date,Job URL,Job ID,Date Scraped,Source Website
NOC Specialist,Rogers Capital Management Services,Plaine Wilhems,Negotiable, 07/07/2025, 06/08/2025,https://www.myjob.mu/Jobs/NOC-Specialist-194629.aspx,194629,10/07/2025 18:28,myjob.mu
Graduate Teaching Assistant in Computer Science,Middlesex International Mauritius Ltd,Black River,Not disclosed, 06/07/2025, 18/07/2025,https://www.myjob.mu/Jobs/Graduate-Teaching-Assistant-in-Computer-194625.aspx,194625,10/07/2025 18:28,myjob.mu
Associate Lecturer/Lecturer in Computer Science,Middlesex International Mauritius Ltd,Black River,Not disclosed, 06/07/2025, 18/07/2025,https://www.myjob.mu/Jobs/Associate-Lecturer-Lecturer-in-Computer-194623.aspx,194623,10/07/2025 18:28,myjob.mu
Support Informatique,Atalian Interactive Ltd,Port Louis,Negotiable, 04/07/2025, 03/08/2025,https://www.myjob.mu/Jobs/Support-Informatique-194593.aspx,194593,10/07/2025 18:28,myjob.mu
Business and Technical Sales Executive (FRCI),ENL,Plaine Wilhems,Negotiable, 04/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/Business-and-Technical-Sales-Executive-194585.aspx,194585,10/07/2025 18:28,myjob.mu
Software Developer (FRCI),ENL,Plaine Wilhems,Negotiable, 04/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/Software-Developer-FRCI-194579.aspx,194579,10/07/2025 18:28,myjob.mu
Business Solutions Analyst (FRCI),ENL,Plaine Wilhems,Negotiable, 01/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/Business-Solutions-Analyst-FRCI-194336.aspx,194336,10/07/2025 18:28,myjob.mu
HubSpot Specialist,Hidden Company,Plaine Wilhems,Not disclosed, 04/07/2025, 03/08/2025,https://www.myjob.mu/Jobs/HubSpot-Specialist-194570.aspx,194570,10/07/2025 18:28,myjob.mu
Solutions Delivery Engineer,VALID Group,Plaine Wilhems,Negotiable, 03/07/2025, 02/08/2025,https://www.myjob.mu/Jobs/Solutions-Delivery-Engineer-194478.aspx,194478,10/07/2025 18:28,myjob.mu
COACH PEDAGOGIQUE,EURO CRM (Mauritius) Ltd,Moka,"10,000 - 20,000", 24/06/2025, 24/07/2025,https://www.myjob.mu/Jobs/COACH-PEDAGOGIQUE-193960.aspx,193960,10/07/2025 18:28,myjob.mu
Technicien Support Informatique,SEDECO LTD,Port Louis,"21,000 - 30,000", 04/07/2025, 03/08/2025,https://www.myjob.mu/Jobs/Technicien-Support-Informatique-194560.aspx,194560,10/07/2025 18:28,myjob.mu
Sage X3 Application Analyst,Harel Mallac & Co Ltd,Plaine Wilhems,Negotiable, 04/07/2025, 03/08/2025,https://www.myjob.mu/Jobs/Sage-X3-Application-Analyst-194536.aspx,194536,10/07/2025 18:28,myjob.mu
TELEVENDEUR (H/F) SENIOR,EURO CRM (Mauritius) Ltd,Moka,"10,000 - 20,000", 04/07/2025, 03/08/2025,https://www.myjob.mu/Jobs/TELEVENDEUR-H-F-SENIOR-194518.aspx,194518,10/07/2025 18:28,myjob.mu
Credit Risk Analyst,Hidden Company,Port Louis,Negotiable, 03/07/2025, 02/08/2025,https://www.myjob.mu/Jobs/Credit-Risk-Analyst-194487.aspx,194487,10/07/2025 18:28,myjob.mu
Store and Logistics Executive,Rogers Capital Management Services,Moka,Negotiable, 19/06/2025, 19/07/2025,https://www.myjob.mu/Jobs/Store-and-Logistics-Executive-193743.aspx,193743,10/07/2025 18:28,myjob.mu
IT Desktop Support,Leal & Co Ltd,Port Louis,Not disclosed, 03/07/2025, 17/07/2025,https://www.myjob.mu/Jobs/IT-Desktop-Support-194506.aspx,194506,10/07/2025 18:28,myjob.mu
Training Coordinator,BDO IT CONSULTING LTD,Port Louis,Not disclosed, 03/07/2025, 02/08/2025,https://www.myjob.mu/Jobs/Training-Coordinator-194488.aspx,194488,10/07/2025 18:28,myjob.mu
Front-End Development Specialist,STM Consulting Limited,Mauritius,Not disclosed, 03/07/2025, 02/08/2025,https://www.myjob.mu/Jobs/Front-End-Development-Specialist-194480.aspx,194480,10/07/2025 18:28,myjob.mu
Information Security Analyst,CYBERVADIS (Mauritius) Ltd,Plaine Wilhems,Negotiable, 03/07/2025, 01/09/2025,https://www.myjob.mu/Jobs/Information-Security-Analyst-194465.aspx,194465,10/07/2025 18:28,myjob.mu
Data Governance Officer,Orange Business Services Mauritius Limited,Plaine Wilhems,Not disclosed, 03/07/2025, 02/08/2025,https://www.myjob.mu/Jobs/Data-Governance-Officer-194461.aspx,194461,10/07/2025 18:28,myjob.mu
Data Analyst,Orange Business Services Mauritius Limited,Plaine Wilhems,Not disclosed, 03/07/2025, 02/08/2025,https://www.myjob.mu/Jobs/Data-Analyst-194457.aspx,194457,10/07/2025 18:28,myjob.mu
DevOps Engineer,Mantu Group (Amaris Consulting),Plaine Wilhems,"41,000 - 50,000", 02/07/2025, 01/08/2025,https://www.myjob.mu/Jobs/DevOps-Engineer-194426.aspx,194426,10/07/2025 18:28,myjob.mu
Senior Full Stack Developer - Payroll Reporting,SD Worx (Mauritius) Limited,Plaine Wilhems,Negotiable, 02/07/2025, 04/08/2025,https://www.myjob.mu/Jobs/Senior-Full-Stack-Developer-Payroll-194424.aspx,194424,10/07/2025 18:28,myjob.mu
(Senior) Project Manager,PEX LTD,Mauritius,Not disclosed, 02/07/2025, 01/08/2025,https://www.myjob.mu/Jobs/Senior-Project-Manager-194421.aspx,194421,10/07/2025 18:28,myjob.mu
Software Developer (Python/Django),She Recruits Pty Ltd,Riviere du Rempart,"51,000 - 75,000", 02/07/2025, 01/08/2025,https://www.myjob.mu/Jobs/Software-Developer-Python-Django-194417.aspx,194417,10/07/2025 18:28,myjob.mu
Social Media Manager,CELESTE,Moka,Not disclosed, 02/07/2025, 01/08/2025,https://www.myjob.mu/Jobs/Social-Media-Manager-194406.aspx,194406,10/07/2025 18:28,myjob.mu
Lead Developer Javascript - Node.JS,EPICONCEPT Océan Indien,Plaine Wilhems,Negotiable, 26/06/2025, 26/07/2025,https://www.myjob.mu/Jobs/Lead-Developer-Javascript-Node-JS-194065.aspx,194065,10/07/2025 18:28,myjob.mu
Technicien Hardware & Software (Technicien Conseil),Bolt Talent Solutions (Pty) Ltd,Mauritius,Not disclosed, 02/07/2025, 01/08/2025,https://www.myjob.mu/Jobs/Technicien-Hardware-Software-Technicien-Conseil-194396.aspx,194396,10/07/2025 18:28,myjob.mu
Junior Data Analyst - CLO,Dealview Technologies MU,Mauritius,Not disclosed, 01/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/Junior-Data-Analyst-CLO-194375.aspx,194375,10/07/2025 18:28,myjob.mu
Investran Support and Reporting Analyst,IQ-EQ Mauritius,Port Louis,Not disclosed, 01/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/Investran-Support-and-Reporting-Analyst-194374.aspx,194374,10/07/2025 18:28,myjob.mu
Community Manager,Linkeo Ltd,Mauritius,Negotiable, 01/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/Community-Manager-194369.aspx,194369,10/07/2025 18:28,myjob.mu
(MAU) Software Developer Sr,DAYFORCE,Mauritius,Negotiable, 01/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/MAU-Software-Developer-Sr-194364.aspx,194364,10/07/2025 18:28,myjob.mu
DEVELOPPEUR .NET (Junior/Senior/Lead Dev),XEFI CENTER (Mauritius) Ltd,Plaine Wilhems,Negotiable, 01/07/2025, 31/07/2025,https://www.myjob.mu/Jobs/DEVELOPPEUR-NET-Junior-Senior-Lead-194328.aspx,194328,10/07/2025 18:28,myjob.mu
Experienced Power Platform AI Developer,SD Worx (Mauritius) Limited,Plaine Wilhems,Negotiable, 01/07/2025, 30/08/2025,https://www.myjob.mu/Jobs/Experienced-Power-Platform-AI-Developer-194310.aspx,194310,10/07/2025 18:28,myjob.mu
Full Stack Developer (Ireland),SD Worx (Mauritius) Limited,Plaine Wilhems,Negotiable, 01/07/2025, 30/08/2025,https://www.myjob.mu/Jobs/Full-Stack-Developer-Ireland-194309.aspx,194309,10/07/2025 18:28,myjob.mu
Technical Lead Marketing Cloud,SD Worx (Mauritius) Limited,Plaine Wilhems,Negotiable, 30/06/2025, 29/08/2025,https://www.myjob.mu/Jobs/Technical-Lead-Marketing-Cloud-194274.aspx,194274,10/07/2025 18:28,myjob.mu
Service Operations Centre (SOC) Analyst – Network and Media,Emtel Ltd (currimjee group),Pamplemousses,Negotiable, 30/06/2025, 30/07/2025,https://www.myjob.mu/Jobs/Service-Operations-Centre-SOC-Analyst-194234.aspx,194234,10/07/2025 18:28,myjob.mu
Infrastructure Technology - Customer Support Engineer,Accenture,Plaine Wilhems,Negotiable, 30/06/2025, 30/07/2025,https://www.myjob.mu/Jobs/Infrastructure-Technology-Customer-Support-Engineer-194233.aspx,194233,10/07/2025 18:28,myjob.mu
IT Service Desk (Back Office),Accenture,Plaine Wilhems,Negotiable, 30/06/2025, 30/07/2025,https://www.myjob.mu/Jobs/IT-Service-Desk-Back-Office-194225.aspx,194225,10/07/2025 18:28,myjob.mu
WEB MASTER,COMPERFORMANCES LTD,Moka,See description, 25/06/2025, 25/07/2025,https://www.myjob.mu/Jobs/WEB-MASTER-193998.aspx,193998,10/07/2025 18:28,myjob.mu
Software QA Engineer,VALID Group,Plaine Wilhems,Negotiable, 30/06/2025, 30/07/2025,https://www.myjob.mu/Jobs/Software-QA-Engineer-194188.aspx,194188,10/07/2025 18:28,myjob.mu
Java Software Developer,VALID Group,Plaine Wilhems,Negotiable, 30/06/2025, 30/07/2025,https://www.myjob.mu/Jobs/Java-Software-Developer-194187.aspx,194187,10/07/2025 18:28,myjob.mu
Administrateur Cloud,Service Plus Monde SPM Ltée,Port Louis,Negotiable, 27/06/2025, 27/07/2025,https://www.myjob.mu/Jobs/Administrateur-Cloud-194157.aspx,194157,10/07/2025 18:28,myjob.mu
Trainee - Network Performance Engineer,Emtel Ltd (currimjee group),Plaine Wilhems,Not disclosed, 26/06/2025, 26/07/2025,https://www.myjob.mu/Jobs/Trainee-Network-Performance-Engineer-194085.aspx,194085,10/07/2025 18:28,myjob.mu
Developpeur Backend Sénior (GOLANG),AM WEB SOLUTIONS LTD,Riviere du Rempart,Negotiable, 27/06/2025, 27/07/2025,https://www.myjob.mu/Jobs/Developpeur-Backend-Senior-GOLANG-194126.aspx,194126,10/07/2025 18:28,myjob.mu
Developpeur Frontend Senior (React),AM WEB SOLUTIONS LTD,Riviere du Rempart,Negotiable, 27/06/2025, 27/07/2025,https://www.myjob.mu/Jobs/Developpeur-Frontend-Senior-React-194127.aspx,194127,10/07/2025 18:28,myjob.mu
Administrative Officer,Hidden Company,Port Louis,Negotiable, 27/06/2025, 27/07/2025,https://www.myjob.mu/Jobs/Administrative-Officer-194130.aspx,194130,10/07/2025 18:28,myjob.mu
Ingénieur Infrastructure Linux,AM WEB SOLUTIONS LTD,Riviere du Rempart,Negotiable, 27/06/2025, 27/07/2025,https://www.myjob.mu/Jobs/Ingenieur-Infrastructure-Linux-194128.aspx,194128,10/07/2025 18:28,myjob.mu
TÉLÉVENDEUR DÉBUTANT (VENTE ENTRANTE) SITE EBENE,EURO CRM (Mauritius) Ltd,Plaine Wilhems,"10,000 - 20,000", 24/06/2025, 24/07/2025,https://www.myjob.mu/Jobs/TELEVENDEUR-DEBUTANT-VENTE-ENTRANTE-SITE-193927.aspx,193927,10/07/2025 18:28,myjob.mu
Senior Backend .NET Developer,Techfindr LTD,Plaine Wilhems,Negotiable, 27/06/2025, 27/07/2025,https://www.myjob.mu/Jobs/Senior-Backend-NET-Developer-194117.aspx,194117,10/07/2025 18:28,myjob.mu
Service Delivery Manager (H/F),Sydev (Mauritius) Ltd,Plaine Wilhems,Negotiable, 26/06/2025, 26/07/2025,https://www.myjob.mu/Jobs/Service-Delivery-Manager-H-F-194070.aspx,194070,10/07/2025 18:28,myjob.mu
Front-End Development Specialist (2526-FEDS),Alentaris Recruitment Ltd,Port Louis,Not disclosed, 26/06/2025, 26/07/2025,https://www.myjob.mu/Jobs/Front-End-Development-Specialist-2526-194051.aspx,194051,10/07/2025 18:28,myjob.mu
INTERNSHIP GRAPHIC DESIGNER,Hidden Company,Plaine Wilhems,Not disclosed, 26/06/2025, 26/07/2025,https://www.myjob.mu/Jobs/INTERNSHIP-GRAPHIC-DESIGNER-194045.aspx,194045,10/07/2025 18:28,myjob.mu
IINTERNSHIP IN WEB DESIGN / WEB DEVELOPER,Hidden Company,Plaine Wilhems,Not disclosed, 26/06/2025, 26/07/2025,https://www.myjob.mu/Jobs/IINTERNSHIP-IN-WEB-DESIGN-WEB-194044.aspx,194044,10/07/2025 18:28,myjob.mu
Implementation Consultant,DAYFORCE,Mauritius,Not disclosed, 25/06/2025, 25/07/2025,https://www.myjob.mu/Jobs/Implementation-Consultant-194015.aspx,194015,10/07/2025 18:28,myjob.mu
RPA /AI Support Software Engineer,Rogers Capital Management Services,Moka,Negotiable, 25/06/2025, 25/07/2025,https://www.myjob.mu/Jobs/RPA-AI-Support-Software-Engineer-194003.aspx,194003,10/07/2025 18:28,myjob.mu
RPA /AI Junior Software Engineer,Rogers Capital Management Services,Moka,Negotiable, 25/06/2025, 25/07/2025,https://www.myjob.mu/Jobs/RPA-AI-Junior-Software-Engineer-194002.aspx,194002,10/07/2025 18:28,myjob.mu
IT ADMINISTRATOR,The Lux Collective Ltd,Plaine Wilhems,Not disclosed, 25/06/2025, 25/07/2025,https://www.myjob.mu/Jobs/IT-ADMINISTRATOR-193996.aspx,193996,10/07/2025 18:28,myjob.mu
Desktop Support Engineer (Axess Limited),ENL,Plaine Wilhems,Not disclosed, 25/06/2025, 25/07/2025,https://www.myjob.mu/Jobs/Desktop-Support-Engineer-Axess-Limited-193994.aspx,193994,10/07/2025 18:28,myjob.mu
Systems and Network Engineer (Axess Limited),ENL,Port Louis,Not disclosed, 25/06/2025, 25/07/2025,https://www.myjob.mu/Jobs/Systems-and-Network-Engineer-Axess-193995.aspx,193995,10/07/2025 18:28,myjob.mu
IT Support Engineer,EO Solutions Ltd / Linxia Ltd,Port Louis,Not disclosed, 25/06/2025, 25/07/2025,https://www.myjob.mu/Jobs/IT-Support-Engineer-193975.aspx,193975,10/07/2025 18:28,myjob.mu
IT Graduates,ELCA,Moka,Not disclosed, 24/06/2025, 24/07/2025,https://www.myjob.mu/Jobs/IT-Graduates-193954.aspx,193954,10/07/2025 18:28,myjob.mu
Run Manager,Accenture,Plaine Wilhems,Not disclosed, 24/06/2025, 24/07/2025,https://www.myjob.mu/Jobs/Run-Manager-193946.aspx,193946,10/07/2025 18:28,myjob.mu
Agent Support Procéduré Applicatif,Accenture,Plaine Wilhems,Not disclosed, 24/06/2025, 24/07/2025,https://www.myjob.mu/Jobs/Agent-Support-Procedure-Applicatif-193945.aspx,193945,10/07/2025 18:28,myjob.mu
(MAU) Enterprise Application Specialist,DAYFORCE,Mauritius,Negotiable, 24/06/2025, 24/07/2025,https://www.myjob.mu/Jobs/MAU-Enterprise-Application-Specialist-193941.aspx,193941,10/07/2025 18:28,myjob.mu
Solution Architect Java,Techfindr LTD,Plaine Wilhems,"More Than 100,000", 24/06/2025, 24/07/2025,https://www.myjob.mu/Jobs/Solution-Architect-Java-193939.aspx,193939,10/07/2025 18:28,myjob.mu
Services Technical Consultant (SQL - Night Shift),DAYFORCE,Mauritius,Negotiable, 24/06/2025, 24/07/2025,https://www.myjob.mu/Jobs/Services-Technical-Consultant-SQL-Night-193931.aspx,193931,10/07/2025 18:28,myjob.mu
Technicien Support Applicatif en Assurance,Groupe Vital Ile Maurice Ltd,Moka,Negotiable, 23/06/2025, 23/07/2025,https://www.myjob.mu/Jobs/Technicien-Support-Applicatif-en-Assurance-193919.aspx,193919,10/07/2025 18:28,myjob.mu
Backend Developer,MSC Call Center Ltd,Plaine Wilhems,"76,000 - 100,000", 20/06/2025, 20/07/2025,https://www.myjob.mu/Jobs/Backend-Developer-193813.aspx,193813,10/07/2025 18:28,myjob.mu
Full Stack Developer,MSC Call Center Ltd,Plaine Wilhems,"76,000 - 100,000", 20/06/2025, 20/07/2025,https://www.myjob.mu/Jobs/Full-Stack-Developer-193812.aspx,193812,10/07/2025 18:28,myjob.mu
Operational Analyst I ( Merchant Configuration),Checkout Support Services Limited,Plaine Wilhems,Not disclosed, 20/06/2025, 20/07/2025,https://www.myjob.mu/Jobs/Operational-Analyst-I-Merchant-Configuration-193798.aspx,193798,10/07/2025 18:28,myjob.mu
ERP Lead,NATEC MEDICAL Ltd,Plaine Wilhems,Negotiable, 20/06/2025, 20/07/2025,https://www.myjob.mu/Jobs/ERP-Lead-193790.aspx,193790,10/07/2025 18:28,myjob.mu
Data Scientist (Axess Limited),ENL,Port Louis,Not disclosed, 20/06/2025, 20/07/2025,https://www.myjob.mu/Jobs/Data-Scientist-Axess-Limited-193783.aspx,193783,10/07/2025 18:28,myjob.mu
Ingénieur Cybersécurité,Centre Digital Solutions (Mauritius) Ltd,Plaine Wilhems,Negotiable, 20/06/2025, 20/07/2025,https://www.myjob.mu/Jobs/Ingenieur-Cybersecurite-193779.aspx,193779,10/07/2025 18:28,myjob.mu
Responsable Informatique,Ecole du Centre College Pierre Poivre,Moka,Negotiable, 20/06/2025, 18/07/2025,https://www.myjob.mu/Jobs/Responsable-Informatique-193777.aspx,193777,10/07/2025 18:28,myjob.mu
HRMS Implementation & Support Consultant,ProximaSoft Ltd,Plaine Wilhems,Not disclosed, 20/06/2025, 20/07/2025,https://www.myjob.mu/Jobs/HRMS-Implementation-Support-Consultant-193758.aspx,193758,10/07/2025 18:28,myjob.mu
Technical Consultant,Aberdeen Operation Ltd,Moka,Negotiable, 19/06/2025, 19/07/2025,https://www.myjob.mu/Jobs/Technical-Consultant-193755.aspx,193755,10/07/2025 18:28,myjob.mu
ERP Functional Consultant,Rogers Capital Management Services,Port Louis,Negotiable, 19/06/2025, 19/07/2025,https://www.myjob.mu/Jobs/ERP-Functional-Consultant-193742.aspx,193742,10/07/2025 18:28,myjob.mu
SME Sales Representative,Emtel Ltd (currimjee group),Plaine Wilhems,Negotiable, 19/06/2025, 19/07/2025,https://www.myjob.mu/Jobs/SME-Sales-Representative-193738.aspx,193738,10/07/2025 18:28,myjob.mu
Ingénieur Support Technique,Nixxis Indian Ocean LTD,Plaine Wilhems,Negotiable, 19/06/2025, 19/07/2025,https://www.myjob.mu/Jobs/Ingenieur-Support-Technique-193736.aspx,193736,10/07/2025 18:28,myjob.mu
Consultant Customer Care (SQL),SD Worx (Mauritius) Limited,Plaine Wilhems,Negotiable, 18/06/2025, 18/07/2025,https://www.myjob.mu/Jobs/Consultant-Customer-Care-SQL-193687.aspx,193687,10/07/2025 18:28,myjob.mu
IT Infrastructure Lead,Techfindr LTD,Plaine Wilhems,Negotiable, 18/06/2025, 18/07/2025,https://www.myjob.mu/Jobs/IT-Infrastructure-Lead-193666.aspx,193666,10/07/2025 18:28,myjob.mu
Accounts Officer,Aryza Services( Mauritius) Ltd,Plaine Wilhems,Negotiable, 16/06/2025, 16/07/2025,https://www.myjob.mu/Jobs/Accounts-Officer-193499.aspx,193499,10/07/2025 18:28,myjob.mu
Engagement Manager,Versusmind Indian Ocean Ltd,Plaine Wilhems,Negotiable, 18/06/2025, 18/07/2025,https://www.myjob.mu/Jobs/Engagement-Manager-193655.aspx,193655,10/07/2025 18:28,myjob.mu
Senior Data Analyst (Power BI),Business & Decision Mauritius,Plaine Wilhems,Not disclosed, 18/06/2025, 18/07/2025,https://www.myjob.mu/Jobs/Senior-Data-Analyst-Power-BI-193624.aspx,193624,10/07/2025 18:28,myjob.mu
Senior Data Engineer (Informatica / Talend / Snowflake),Business & Decision Mauritius,Plaine Wilhems,Not disclosed, 18/06/2025, 18/07/2025,https://www.myjob.mu/Jobs/Senior-Data-Engineer-Informatica-Talend-193619.aspx,193619,10/07/2025 18:28,myjob.mu
Senior Drupal Developer,Business & Decision Mauritius,Plaine Wilhems,Not disclosed, 18/06/2025, 18/07/2025,https://www.myjob.mu/Jobs/Senior-Drupal-Developer-193616.aspx,193616,10/07/2025 18:28,myjob.mu
Junior Data Analyst - CMBS,Dealview Technologies MU,Mauritius,Not disclosed, 17/06/2025, 17/07/2025,https://www.myjob.mu/Jobs/Junior-Data-Analyst-CMBS-193608.aspx,193608,10/07/2025 18:28,myjob.mu
Administrateur SI Windows Sénior,Outremer Telecom Digital Solutions,Plaine Wilhems,"51,000 - 75,000", 17/06/2025, 17/07/2025,https://www.myjob.mu/Jobs/Administrateur-SI-Windows-Senior-193606.aspx,193606,10/07/2025 18:28,myjob.mu
Comptable Caisse-Banking Junior,Outremer Telecom Digital Solutions,Plaine Wilhems,"21,000 - 30,000", 17/06/2025, 17/07/2025,https://www.myjob.mu/Jobs/Comptable-Caisse-Banking-Junior-193605.aspx,193605,10/07/2025 18:28,myjob.mu
Comptable - Clients et Trésorerie,Outremer Telecom Digital Solutions,Plaine Wilhems,"21,000 - 30,000", 17/06/2025, 17/07/2025,https://www.myjob.mu/Jobs/Comptable-Clients-et-Tresorerie-193604.aspx,193604,10/07/2025 18:28,myjob.mu
Comptable Junior - Clients,Outremer Telecom Digital Solutions,Plaine Wilhems,"21,000 - 30,000", 17/06/2025, 17/07/2025,https://www.myjob.mu/Jobs/Comptable-Junior-Clients-193603.aspx,193603,10/07/2025 18:28,myjob.mu
Senior Backend Developer,Resolvable,Mauritius,"76,000 - 100,000", 17/06/2025, 17/07/2025,https://www.myjob.mu/Jobs/Senior-Backend-Developer-193591.aspx,193591,10/07/2025 18:28,myjob.mu
Senior Business Consultant,State Informatics Limited,Port Louis,Negotiable, 17/06/2025, 10/07/2025,https://www.myjob.mu/Jobs/Senior-Business-Consultant-193570.aspx,193570,10/07/2025 18:28,myjob.mu
Business Consultant - Presales,State Informatics Limited,Port Louis,Negotiable, 17/06/2025, 10/07/2025,https://www.myjob.mu/Jobs/Business-Consultant-Presales-193568.aspx,193568,10/07/2025 18:28,myjob.mu
