Job Title,Company,Location,Salary,Date Posted,Closing Date,Job URL,Job ID,Date Scraped,Source Website
Junior Administrative Project Coordinator (2528-JAPC),Alentaris Recruitment Ltd,Moka,Negotiable, 10/07/2025, 09/08/2025,https://www.myjob.mu/Jobs/Junior-Administrative-Project-Coordinator-2528-194938.aspx,194938,10/07/2025 18:28,myjob.mu
Junior Helpdesk Analyst,Hawksford Mauritius Ltd.,Mauritius,Not disclosed, 10/07/2025, 09/08/2025,https://www.myjob.mu/Jobs/Junior-Helpdesk-Analyst-194934.aspx,194934,10/07/2025 18:28,myjob.mu
Chef de Projet Déploiement,DIGITAL 4 BUSINESS,Moka,Negotiable, 10/07/2025, 09/08/2025,https://www.myjob.mu/Jobs/Chef-de-Projet-Deploiement-194931.aspx,194931,10/07/2025 18:28,myjob.mu
Technicien de Télésurveillance,Outremer Telecom Digital Solutions,Plaine Wilhems,"21,000 - 30,000", 10/07/2025, 09/08/2025,https://www.myjob.mu/Jobs/Technicien-de-Telesurveillance-194929.aspx,194929,10/07/2025 18:28,myjob.mu
Technicien ServiceDesk,Outremer Telecom Digital Solutions,Plaine Wilhems,"31,000 - 40,000", 10/07/2025, 09/08/2025,https://www.myjob.mu/Jobs/Technicien-ServiceDesk-194928.aspx,194928,10/07/2025 18:28,myjob.mu
Project Finance Controller,Huawei Technologies (MRU) Co Ltd,Mauritius,Negotiable, 09/07/2025, 08/08/2025,https://www.myjob.mu/Jobs/Project-Finance-Controller-194882.aspx,194882,10/07/2025 18:28,myjob.mu
ZONE IT CHAMPION,TAYLOR SMITH GROUP,Port Louis,Not disclosed, 09/07/2025, 08/08/2025,https://www.myjob.mu/Jobs/ZONE-IT-CHAMPION-194881.aspx,194881,10/07/2025 18:28,myjob.mu
Intern - UX/UI Web Designer (Head Office),NEW MAURITIUS HOTELS LIMITED – Beachcomber HOTELS,Plaine Wilhems,Not disclosed, 09/07/2025, 18/07/2025,https://www.myjob.mu/Jobs/Intern-UX-UI-Web-Designer-194869.aspx,194869,10/07/2025 18:28,myjob.mu
Front End Development Technical Coach / Trainer,SD Worx (Mauritius) Limited,Plaine Wilhems,Negotiable, 09/07/2025, 11/08/2025,https://www.myjob.mu/Jobs/Front-End-Development-Technical-Coach-194867.aspx,194867,10/07/2025 18:28,myjob.mu
IT Officer (2528-ITO),Alentaris Recruitment Ltd,Port Louis,Negotiable, 09/07/2025, 08/08/2025,https://www.myjob.mu/Jobs/IT-Officer-2528-ITO-194864.aspx,194864,10/07/2025 18:28,myjob.mu
Front End Web Developer (FRCI),ENL,Plaine Wilhems,Not disclosed, 30/06/2025, 30/07/2025,https://www.myjob.mu/Jobs/Front-End-Web-Developer-FRCI-194218.aspx,194218,10/07/2025 18:28,myjob.mu
Conseiller Service Client (H/F),CELESTE,Plaine Wilhems,Not disclosed, 09/07/2025, 08/08/2025,https://www.myjob.mu/Jobs/Conseiller-Service-Client-H-F-192975.aspx,192975,10/07/2025 18:28,myjob.mu
Product Support Engineer L3,SD Worx (Mauritius) Limited,Plaine Wilhems,Not disclosed, 09/07/2025, 07/09/2025,https://www.myjob.mu/Jobs/Product-Support-Engineer-L3-194803.aspx,194803,10/07/2025 18:28,myjob.mu
Web Designer,Publicis Production,Moka,Not disclosed, 04/07/2025, 03/08/2025,https://www.myjob.mu/Jobs/Web-Designer-194571.aspx,194571,10/07/2025 18:28,myjob.mu
TÉLÉVENDEURS AVEC OU SANS EXPÉRIENCE,EURO CRM (Mauritius) Ltd,Moka,Not disclosed, 08/07/2025, 07/08/2025,https://www.myjob.mu/Jobs/TELEVENDEURS-AVEC-OU-SANS-EXPERIENCE-194785.aspx,194785,10/07/2025 18:28,myjob.mu
Investran Support and Reporting Analyst,IQ-EQ Mauritius,Port Louis,Not disclosed, 08/07/2025, 07/08/2025,https://www.myjob.mu/Jobs/Investran-Support-and-Reporting-Analyst-194782.aspx,194782,10/07/2025 18:28,myjob.mu
IT Administrator,MAURITIUS OIL REFINERIES,Port Louis,Not disclosed, 08/07/2025, 18/07/2025,https://www.myjob.mu/Jobs/IT-Administrator-194781.aspx,194781,10/07/2025 18:28,myjob.mu
"Trilingual Customer Service Agent - Italian, French & English",Movate (Mauritius) Ltd,Plaine Wilhems,Negotiable, 08/07/2025, 07/08/2025,https://www.myjob.mu/Jobs/Trilingual-Customer-Service-Agent-Italian-194768.aspx,194768,10/07/2025 18:28,myjob.mu
TELEVENDEUR EXPERIMENTE(E),EURO CRM (Mauritius) Ltd,Moka,Not disclosed, 04/07/2025, 03/08/2025,https://www.myjob.mu/Jobs/TELEVENDEUR-EXPERIMENTE-E-194569.aspx,194569,10/07/2025 18:28,myjob.mu
Drupal Specialist (Web Developer) - (FRCI),ENL,Plaine Wilhems,Negotiable, 13/06/2025, 13/07/2025,https://www.myjob.mu/Jobs/Drupal-Specialist-Web-Developer-FRCI-193408.aspx,193408,10/07/2025 18:28,myjob.mu
Field Test Engineer,Smollan (Mauritius) Ltd,Plaine Wilhems,"21,000 - 30,000", 07/07/2025, 06/08/2025,https://www.myjob.mu/Jobs/Field-Test-Engineer-194693.aspx,194693,10/07/2025 18:28,myjob.mu
Technicien Support Réseaux et Clients,Orange Business Services Mauritius Limited,Plaine Wilhems,Not disclosed, 07/07/2025, 06/08/2025,https://www.myjob.mu/Jobs/Technicien-Support-Reseaux-et-Clients-194671.aspx,194671,10/07/2025 18:28,myjob.mu
Functional Support Engineer (SuccessFactors),Centre Digital Solutions (Mauritius) Ltd,Moka,Negotiable, 07/07/2025, 06/08/2025,https://www.myjob.mu/Jobs/Functional-Support-Engineer-SuccessFactors-194665.aspx,194665,10/07/2025 18:28,myjob.mu
